INDEX_NO,SR_NO,PROFESSION_ID,SPECILISATION_ID,SUPER_SPECILISATION_ID,OFLINE
00000102,1,5.0,,,0
00000103,1,3.0,12.0,4.0,0
00000104,1,4.0,5.0,,0
00000104,2,4.0,2.0,,0
00000105,1,34.0,,,0
00000106,1,6.0,6.0,1.0,0
00000107,1,63.0,3.0,1.0,0
00000107,2,63.0,4.0,,0
00000108,1,8.0,1.0,,0
00000109,1,9.0,14.0,,0
00000109,2,9.0,29.0,,0
00000109,3,9.0,15.0,,0
00000109,4,9.0,11.0,,0
00000109,5,9.0,21.0,2.0,0
00000110,1,10.0,1.0,,0
000001100,1,100.0,1.0,,0
000001101,1,101.0,2.0,,0
000001101,2,18.0,8.0,1.0,0
00000111,1,63.0,8.0,,0
00000112,1,12.0,,,0
00000114,1,14.0,14.0,14.0,0
00000114,2,64.0,2.0,,0
00000114,3,14.0,12.0,,0
00000115,1,15.0,11.0,,0
00000116,1,16.0,9.0,,0
00000116,2,16.0,16.0,,0
00000117,1,17.0,4.0,,0
00000118,1,18.0,45.0,,0
00000119,1,63.0,5.0,,0
00000119,2,52.0,40.0,1.0,0
00000119,3,43.0,13.0,,0
00000120,1,20.0,10.0,,0
00000121,1,21.0,1.0,,0
00000121,2,40.0,3.0,13.0,0
00000122,1,22.0,8.0,14.0,0
00000122,2,63.0,11.0,18.0,0
00000123,1,23.0,1.0,1.0,0
00000124,1,24.0,11.0,,0
00000125,1,25.0,,,0
00000126,1,26.0,,,0
00000127,1,63.0,11.0,38.0,0
00000128,1,28.0,4.0,,0
00000129,1,29.0,3.0,,0
00000130,1,63.0,12.0,,0
00000131,1,31.0,2.0,,0
00000132,1,32.0,2.0,1.0,0
00000133,1,63.0,13.0,,0
00000134,1,34.0,,,0
00000135,1,35.0,4.0,,0
00000136,1,63.0,20.0,,0
00000138,1,38.0,1.0,,0
00000139,1,39.0,9.0,,0
00000140,1,40.0,3.0,,0
00000141,1,41.0,,,0
00000142,1,42.0,9.0,1.0,0
00000142,2,40.0,3.0,9.0,0
00000143,1,43.0,12.0,10.0,0
00000144,1,63.0,21.0,,0
00000145,1,45.0,24.0,3.0,0
00000146,1,46.0,,,0
00000147,1,47.0,,,0
00000148,1,48.0,20.0,,0
00000149,1,49.0,,,0
00000151,1,51.0,,,0
00000151,2,41.0,10.0,,0
00000152,1,52.0,12.0,,0
00000153,1,63.0,4.0,1.0,0
00000156,1,63.0,4.0,,0
00000158,1,43.0,12.0,,0
00000159,1,28.0,27.0,,0
00000160,1,60.0,7.0,,0
00000161,1,61.0,2.0,,0
00000162,1,62.0,19.0,17.0,0
00000162,2,60.0,1.0,,0
00000163,1,63.0,4.0,2.0,0
00000163,2,63.0,4.0,11.0,0
00000164,1,64.0,,,0
00000164,2,14.0,14.0,,0
00000165,1,65.0,4.0,,0
00000166,1,22.0,20.0,,0
00000167,1,67.0,,,0
00000168,1,63.0,11.0,,0
