DEGREE_ID,DEGREE_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE
1.0,ALL FOREIGN DEGREE AND DIPLOMA,2.0,,Y,0
2.0,B A,2.0,1.0,N,0
3.0,B COM,2.0,1.0,N,0
4.0,B ED,2.0,1.0,N,0
5.0,B LIB SCIENCE,2.0,1.0,N,0
6.0,B PHARM,2.0,1.0,N,0
7.0,B SC,2.0,,Y,0
8.0,B SC ENGG,2.0,1.0,Y,0
9.0,B TECH,2.0,1.0,N,0
10.0,B V SC AND A H,2.0,1.0,N,0
11.0,B SC HONS,2.0,1.0,N,0
12.0,D C H,2.0,,Y,0
13.0,D LIT,2.0,1.0,N,0
14.0,D M ,2.0,,Y,0
15.0,D PHIL,2.0,1.0,N,0
16.0,D SC,2.0,1.0,N,0
17.0,D P H,2.0,1.0,N,0
18.0,D G O,2.0,1.0,Y,0
19.0,DIP IN FRENCH,2.0,1.0,N,0
20.0,DIP IN GERMAN,2.0,1.0,N,0
21.0,DIP IN JOURNALISM AND MASS COMMUNICATIONS,2.0,1.0,N,0
22.0,DIP IN MANAGEMENT,2.0,1.0,N,0
23.0,DIP IN PRINTING,2.0,1.0,N,0
24.0,M B B S,2.0,,Y,0
25.0,M CH,2.0,5.0,Y,0
26.0,M D ,2.0,,Y,0
27.0,M ED,2.0,1.0,N,0
28.0,M LIB SCIENCE,2.0,22.0,Y,0
29.0,M PHARM,2.0,1.0,N,0
30.0,M PHIL,2.0,1.0,N,0
31.0,M SC,2.0,,Y,0
32.0,M SC ENGG,2.0,1.0,N,0
33.0,M TECH,2.0,1.0,N,0
34.0,M S ,2.0,,Y,0
35.0,B E,2.0,1.0,N,0
36.0,M E,2.0,1.0,N,0
37.0,M V SC,2.0,1.0,N,0
38.0,M A,2.0,1.0,N,0
39.0,M B A,2.0,1.0,N,0
40.0,PG DIP EDUCATIONAL TECHNOLOGY,2.0,1.0,N,0
41.0,PG DIP MARKETING MANAGEMENT,2.0,1.0,N,0
42.0,PH. D,2.0,,Y,0
43.0,DIP IN PRINTING TECHNOLOGY,2.0,1.0,N,0
44.0,POST DOCTORAL RESEARCH,2.0,,Y,0
45.0,B F A,2.0,1.0,N,0
46.0,M F A,2.0,1.0,N,0
47.0,DIP IN FIRE ENGG,2.0,1.0,N,0
48.0,DEGREE IN FIRE ENGG,2.0,49.0,N,0
49.0,DIP IN INDUSTRIAL SAFETY,2.0,1.0,N,0
50.0,A M I E,2.0,1.0,N,0
51.0,L L B,2.0,1.0,N,0
52.0,L L M,2.0,1.0,N,0
53.0,F R C S,2.0,,Y,0
54.0,P G DIPLOMA,2.0,,Y,0
55.0,B L,2.0,5.0,Y,0
56.0,JOURNASLIM,2.0,1.0,N,0
57.0,DIP. IN TELEVISION PRODUCTION AND PROGRAMME,3.0,1.0,N,0
58.0,B.S. COMMUNICATION,3.0,1.0,N,0
59.0,M.S. COMMUNICATION,3.0,1.0,N,0
60.0,SAHITYA RATNA,4.0,1.0,N,0
61.0,M COM,2.0,1.0,N,0
62.0,DIP. IN FILM TECH.,4.0,1.0,N,0
63.0,DIPLOMA IN CINEMA,2.0,1.0,N,0
64.0,P G DIP. IN COMMUNICATION,3.0,1.0,N,0
65.0,M S,3.0,1.0,N,0
66.0,G.D. ART,3.0,1.0,N,0
67.0,N D D U K,3.0,1.0,N,0
68.0,C C A D D U K,3.0,1.0,N,0
69.0,M S I A D U K,3.0,1.0,N,0
70.0,DIP. IN PUBLIC ADMINISTRATION,3.0,1.0,N,0
71.0,DIPLOMA,3.0,,Y,0
72.0,D N B,3.0,,Y,0
73.0,F I C P,4.0,1.0,N,0
74.0,M R C P,4.0,,Y,0
75.0,F.A.M.S.,2.0,,Y,0
76.0,FELLOWSHIP,4.0,,Y,0
77.0,D R M ,5.0,1.0,N,0
78.0,D M R D ,5.0,22.0,Y,0
79.0,D C D,6.0,1.0,N,0
80.0,B I M S,5.0,1.0,N,0
