DESIGNATION_ID,DESIGNATION_DESC,CR_BY,MOD_BY,ACTIVE,OFLINE
1.0,ADDITIONAL DIRECTOR GENERAL,2.0,,Y,0
2.0,ADDITIONAL MEDICAL SUPERINTENDENT,2.0,,Y,0
3.0,ADDITIONAL PROF.,2.0,,Y,0
4.0,ADDITIONAL SECRETARY,2.0,,Y,0
5.0,CHAIRMAN,2.0,,Y,0
6.0,CHAIRMAN CUM MANAGING DIRECTOR,2.0,,Y,0
7.0,CHIEF CONSERVATOR OF FORESTS,2.0,,Y,0
8.0,CHIEF ENGINEER,2.0,,Y,0
9.0,CHIEF EXECUTIVE OFFICER,2.0,,Y,0
10.0,CHIEF MATERIALS MANAGER,2.0,,Y,0
11.0,CHIEF SECRETARY,2.0,,Y,0
12.0,CHIEF WORKS ENGINEER,2.0,,Y,0
13.0,CONSULTANT,2.0,,Y,0
14.0,CONTROLLER OF STORES,2.0,,Y,0
15.0,DEAN,2.0,,Y,0
16.0,DEPUTY DIRECTOR,2.0,,Y,0
17.0,DEPUTY DIRECTOR GENERAL,2.0,,Y,0
18.0,DIRECTOR,2.0,,Y,0
19.0,DIRECTOR AND CHIEF EXECUTIVE,2.0,,Y,0
20.0,DIRECTOR PROFESSOR,2.0,,Y,0
21.0,DIRECTOR GENERAL,2.0,,Y,0
22.0,DIRECTOR OF COMMECIAL AUDIT AND EX OFFICIO MEMBER AUDIT BOARD,2.0,,Y,0
23.0,DIRECTOR PROFESSOR AND H O D,2.0,,Y,0
24.0,DIVISIONAL RAILWAY MANAGER,2.0,,Y,0
25.0,DR.,2.0,,Y,0
26.0,DY CHIEF MECHANICAL ENGINEER,2.0,,Y,0
27.0,DY DIRECTOR GENERAL,2.0,,Y,0
28.0,EXECUTIVE DIRECTOR,2.0,,Y,0
29.0,GENERAL MANAGER,2.0,,Y,0
30.0,HEAD OF DEPTT.,2.0,,Y,0
31.0,JOINT SECRETARY,2.0,,Y,0
32.0,JT. SECRETARY AND LEGAL ADVISOR,2.0,,Y,0
33.0,LIBRARIAN AND HEAD,2.0,,Y,0
34.0,MANAGING DIRECTOR,2.0,,Y,0
35.0,MEDICAL SUPERINTENDENT,2.0,,Y,0
36.0,MEMBER,2.0,23.0,Y,0
37.0,MEMBER SECRETARY,2.0,,Y,0
38.0,PRINCIPAL,2.0,,Y,0
39.0,PRINCIPAL ACCOUNTANT GENERAL,2.0,,Y,0
40.0,PRO CHANCELLOR,2.0,23.0,Y,0
41.0,PROFESSOR,2.0,23.0,Y,0
42.0,PROF. AND HEAD,2.0,,Y,0
43.0,SCIENTIST F,2.0,,Y,0
44.0,SCIENTIST G,2.0,,Y,0
45.0,SCIENTIST H,2.0,,Y,0
46.0,SECRETARY,2.0,,Y,0
47.0,VICE CHANCELLOR,2.0,,Y,0
48.0,D I G,2.0,,Y,0
49.0,I G,2.0,,Y,0
50.0,COMMISSIONER,2.0,,Y,0
51.0,VISITING PROF.,2.0,,Y,0
52.0,CHIEF G M,2.0,,Y,0
53.0,WORKS MANAGER,2.0,,Y,0
54.0,SENIOR VIGOLOGISTS,2.0,23.0,Y,0
55.0,ENGINEER IN CHIEF,2.0,,Y,0
56.0,CONTROLLER OF EXAMINATION,2.0,,Y,0
57.0,REGISTRAR,2.0,,Y,0
58.0,SUPERINTENDING ENGINEER,2.0,,Y,0
59.0,PRINCIPAL CHIEF CONSERVATOR OF FORESTS,2.0,,Y,0
60.0,PRINCIPAL SECRETARY,2.0,,Y,0
61.0,JOINT SECRETARY AND LEGISLATIVE COUNSEL,2.0,,Y,0
62.0,CONSERVATOR OF FORESTS,2.0,,Y,0
63.0,CHIEF COMMISSIONER,2.0,,Y,0
64.0,PRINCIPAL SCIENTIST,2.0,,Y,0
65.0,JOINT DIRECTOR,2.0,,Y,0
66.0,PRESS INFORMATION OFFICER,2.0,,Y,0
67.0,EDITOR,2.0,,Y,0
68.0,READER AND HEAD,4.0,,Y,0
69.0,PROFESSOR AND HEAD,4.0,,Y,0
70.0,PRESS SECRETARY,3.0,,Y,0
71.0,BUREAU CHIEF,3.0,,Y,0
72.0,EDITOR IN CHIEF,2.0,,Y,0
73.0,PRESS REGISTRAR,2.0,,Y,0
74.0,ADDL. DIRECTOR GENERAL,2.0,23.0,Y,0
75.0,COORDINATOR,3.0,,Y,0
76.0,LECTURER,3.0,,Y,0
77.0,ASSOCIATE DIRECTOR PROFESSOR,2.0,,Y,0
78.0,VICE PRESIDENT,2.0,,Y,0
79.0,LIASON OFFICER,4.0,,Y,0
80.0,PROFESSOR & CHAIRMAN,2.0,,Y,0
81.0,MEDIA CONSULTANT,2.0,,Y,0
