ORG_TYPE_ID,ORG_TYPE_DESC,CR_BY,MOD_BY,ACTIVE,PT_APP,OFLINE
1.0,ACADEMIC INSTITUTION,2.0,1.0,Y,Y,0
2.0,AUTONOMOUS BODY,2.0,1.0,Y,Y,0
3.0,GOVT. DEPARTMENT,2.0,1.0,Y,Y,0
4.0,OTHERS,2.0,1.0,Y,Y,0
5.0,PRIVATE ORGANIZATION,2.0,1.0,Y,Y,0
6.0,PROFESSIONAL BODY GROUP,2.0,1.0,Y,Y,0
7.0,PUBLIC SECTOR UNDERTAKING,2.0,1.0,Y,Y,0
8.0,RESEARCH AND DEVELOPMENT ORGANIZATION,2.0,1.0,Y,Y,0
9.0,STATE SERVICE,6.0,1.0,Y,Y,0
10.0,UNIVERSITY OF DELHI,11.0,1.0,N,,0
11.0,MEDICAL COLLEGE,1.0,1.0,Y,,0
12.0,MEDICAL INSTITUTION,1.0,1.0,Y,,0
13.0,HOSPITAL,1.0,1.0,Y,,0
14.0,A GOVT. OF INDIA UNDERTAKING,5.0,1.0,Y,,0
15.0,STATUTORY BODY,5.0,,Y,,0
16.0,OFFICE OF THE CHIEF ADVISOR COST,5.0,,Y,,0
17.0,REGIONAL TRAINING CENTRE,5.0,,Y,,0
18.0,HIND INSTITUTE OF MEDICAL SCIENCES LUCKNOW,,,Y,,0
19.0,STATE GOVT. DEPARTMENT,,,Y,,0
20.0,Railway Recruitment Control Board,,,Y,,0
21.0,REGIONAL FORENSIC SCIENCE LABORATORY,,,Y,,0
22.0,DELHI SKILL AND ENTREPRENEURSHIP UNIVERSITY(DSEU),,,Y,,0
23.0,"DAU SHRI VASUDEV CHANDRAKAR KAMDHENU UNIVERSITY, RAIPUR",,,Y,,0
24.0,GOVT. OF INDIA ENTERPRISE,,,Y,,0
25.0,ATTACHED OFFICE,,,Y,,0
26.0,ACCREDITATION BODY,,,Y,,0
27.0,INDIAN INSTITUTE OF TECHNOLOGY DHANBAD,,,Y,,0
28.0,GOVERNMENT OF INDIA,,,Y,,0
29.0,GOVERNMENT OF INDIA,,,N,,0
30.0,GOVERNMENT OF INDIA,,,N,,0
31.0,STATE GOVERNMENT,,,Y,,0
32.0,UNIVERSITY OF KERALA,,,Y,,0
33.0,NATIONAL LAW SCHOOL OF INDIA UNIVERSITY,,,Y,,0
34.0,ELECTRICAL VEHICLE TECHNOLOGY,,,Y,,0
35.0,MINISTRY OF ARCHAEOLOGY,,,Y,,0
36.0,"HEMCHAND YADAV UNIVERSITY, DURG, CHATTISGARH",,,Y,,0
37.0,"HEMCHAND YADAV UNIVERSITY, DURG, CHATTISGARH",,,Y,,0
38.0,DRDO (DTRL),,,Y,,0
39.0,ALL INDIA INSTITUTE OF MEDICAL SCIENCES BIBINAGER HYDRABAD,,,Y,,0
40.0,ALL INDIA INSTITUTE OF MEDICAL SCIENCES BIBINAGER HYDRABAD,,,Y,,0
41.0,Institute of teaching and research in Ayurveda Jamnagar,,,Y,,0
42.0,INDICAA GLOBAL LTD.,,,Y,,0
43.0,"EMBASSY OF THE STATE OF KUWAIT TO NEW DELHI, INDIA.",,,Y,,0
44.0,"SCHOOL OF FOREIGN LANGUAGES, MINISTRY OF DEFENCE GOVERNMENT OF INDIA.",,,Y,,0
