PAY_SCALE_ID,PAY_SCALE_START,PAY_SCALE_END,CR_BY,MOD_BY,ACTIVE,OFLINE
1.0,24500,26000,2.0,,Y,0
2.0,12000,16500,2.0,,Y,0
3.0,12000,18000,2.0,,Y,0
4.0,14300,18300,2.0,,Y,0
5.0,16400,20000,2.0,,Y,0
6.0,16400,22400,2.0,,Y,0
7.0,18400,22400,2.0,,Y,0
8.0,22400,24500,2.0,,Y,0
9.0,22400,26000,2.0,,Y,0
10.0,24500,26000,2.0,,Y,0
11.0,18500,23900,2.0,,Y,0
12.0,20500,26500,2.0,,Y,0
13.0,23750,28550,2.0,,Y,0
14.0,20500,25000,2.0,,Y,0
15.0,22500,27300,2.0,,Y,0
16.0,25780,30950,2.0,,Y,0
17.0,27750,31500,2.0,,Y,0
18.0,26000,26000,2.0,,Y,0
19.0,25000,25000,2.0,,Y,0
20.0,30000,30000,2.0,,Y,0
21.0,19000,25700,2.0,,Y,0
22.0,10000,15300,4.0,,Y,0
23.0,15000,18600,3.0,,Y,0
24.0,17300,22400,4.0,,Y,0
25.0,8250,10050,5.0,,Y,0
26.0,26000,,4.0,,Y,0
27.0,18500,22400,7.0,,Y,0
28.0,26000,26000,4.0,,Y,0
29.0,11500,13500,1.0,,Y,0
30.0,7500,9900,2.0,,Y,0
31.0,9500,11500,2.0,,Y,0
32.0,9000,9000,1.0,,Y,0
33.0,9000,9550,1.0,,Y,0
34.0,10325,10975,1.0,,Y,0
35.0,12000,16500,1.0,,Y,0
36.0,12750,16500,1.0,,Y,0
37.0,12000,18000,1.0,,Y,0
38.0,15100,18300,1.0,,Y,0
39.0,8100,,2.0,,Y,0
40.0,8100,13025,2.0,,Y,0
41.0,16400,22400,4.0,,Y,0
42.0,14300,16300,5.0,,Y,0
43.0,16400,20900,5.0,,Y,0
44.0,16400,18050,4.0,,Y,0
45.0,16700,18050,4.0,,Y,0
46.0,8000,13500,1.0,,Y,0
47.0,6500,10500,1.0,,Y,0
48.0,7500,10200,6.0,,Y,0
49.0,14000,16500,6.0,,Y,0
50.0,16800,19000,6.0,,Y,0
51.0,18600,22400,6.0,,Y,0
52.0,18600,22400,6.0,,Y,0
53.0,14300,18900,6.0,,Y,0
54.0,16000,25000,6.0,,Y,0
55.0,18000,22500,6.0,,Y,0
56.0,14300,18000,6.0,,Y,0
57.0,18400,22000,6.0,,Y,0
58.0,14300,18400,6.0,,Y,0
59.0,180000-,320000,6.0,23.0,Y,0
60.0,16400,22400,1.0,,Y,0
61.0,14300,22400,6.0,,Y,0
62.0,19000,21000,6.0,,Y,0
63.0,14000,22000,6.0,,Y,0
64.0,18100,22600,6.0,,Y,0
65.0,16500,,5.0,,Y,0
66.0,16500,18500,5.0,,Y,0
67.0,16000,,5.0,,Y,0
68.0,19400,22400,5.0,,Y,0
69.0,18600,25500,5.0,,Y,0
70.0,14000,18500,5.0,,Y,0
71.0,18900,22400,5.0,,Y,0
72.0,17200,23700,5.0,,Y,0
73.0,17200,23700,5.0,,Y,0
74.0,15000,20000,5.0,,Y,0
75.0,16000,22000,5.0,,Y,0
76.0,17550,19550,5.0,,Y,0
77.0,18000,22000,5.0,,Y,0
78.0,18000,25000,5.0,,Y,0
79.0,14000,18000,6.0,,Y,0
80.0,15000,18000,6.0,,Y,0
81.0,12000,16000,6.0,,Y,0
82.0,14700,18700,6.0,,Y,0
83.0,14500,18500,6.0,,Y,0
84.0,17300,19800,5.0,,Y,0
85.0,16400,23500,5.0,,Y,0
86.0,12000,18300,1.0,,Y,0
87.0,10000,15200,1.0,,Y,0
88.0,18600,22100,5.0,,Y,0
89.0,16400,22000,6.0,,Y,0
90.0,16000,20000,6.0,,Y,0
91.0,24050,26000,5.0,,Y,0
92.0,17500,22300,5.0,,Y,0
93.0,7500,8500,5.0,,Y,0
94.0,19400,22000,5.0,,Y,0
95.0,16400,22900,5.0,,Y,0
96.0,13500,19500,6.0,,Y,0
