PROFESSION_ID,PROFESSION_NAME,CR_BY,MOD_BY,ACTIVE,DOC_NO,OFLINE
1.0,ADMINISTRATION,2.0,77.0,Y,309.0,0
2.0,AEROSPACE AND AERONAUTICAL ENGG.,2.0,73.0,N,25.0,0
3.0,AGRICULTURE,2.0,78.0,Y,1091.0,0
4.0,ANTHROPOLOGY,2.0,,Y,64.0,0
5.0,ARCHAEOLOGY,2.0,,Y,26.0,0
6.0,ARCHITECTURE,2.0,,Y,68.0,0
7.0,CHEMICAL ENGINEERING,2.0,73.0,Y,57.0,0
8.0,COMMERCE,2.0,,Y,223.0,0
9.0,ECONOMICS,2.0,,Y,403.0,0
10.0,EDUCATION,2.0,57.0,Y,159.0,0
11.0,ELECTRICAL ENGINEERING,2.0,73.0,N,122.0,0
12.0,ENVIRONMENTAL SCIENCE,2.0,,Y,47.0,0
13.0,FINE ARTS AND ART,2.0,,Y,89.0,0
14.0,FORESTRY,2.0,,Y,264.0,0
15.0,GEOGRAPHY,2.0,,Y,100.0,0
16.0,HISTORY,2.0,,Y,135.0,0
17.0,HOME SCIENCE,2.0,,Y,41.0,0
18.0,INDIAN LANGUAGES AND FOREIGN LANGUAGES,2.0,66.0,Y,655.0,0
19.0,INFORMATION TECHNOLOGY COMPUTER AND ELECTRONICS ENGG.,2.0,72.0,Y,125.0,0
20.0,LAW,2.0,,Y,318.0,0
21.0,LIFE SCIENCE,2.0,,Y,448.0,0
22.0,MANAGEMENT STUDIES,2.0,,Y,321.0,0
23.0,MARINE ENGINEERING AND SHIPPING,2.0,73.0,N,23.0,0
24.0,MASS MEDIA,2.0,,Y,94.0,0
25.0,MATERIALS MANAGEMENT,2.0,,Y,49.0,0
26.0,MATHEMATICS,2.0,,Y,122.0,0
27.0,MECHANICAL ENGINEERING,2.0,73.0,N,231.0,0
28.0,MEDICAL SCIENCES  ALLOPATHY,2.0,,Y,3072.0,0
29.0,MEDICAL SCIENCES NON ALLOPATHY,2.0,,Y,324.0,0
30.0,METALLURGICAL ENGINEERING,2.0,73.0,N,47.0,0
31.0,METEOROLOGY,2.0,,Y,78.0,0
32.0,MILITARY SCIENCE,2.0,,Y,3.0,0
33.0,MINING ENGINEERING,2.0,73.0,N,35.0,0
34.0,MUSEOLOGY,2.0,,Y,42.0,0
35.0,MUSIC DANCE DRAMA,2.0,,Y,39.0,0
36.0,NAVAL ARCHITECURE AND SHIP BUILDING,2.0,62.0,Y,11.0,0
37.0,OPERATIONS RESEARCH,2.0,73.0,N,,0
38.0,PARAMEDICAL SCIENCES,2.0,,Y,23.0,0
39.0,PHARMACY,2.0,,Y,162.0,0
40.0,PHYSICAL SCIENCES,2.0,,Y,1280.0,0
41.0,SOCIOLOGY,2.0,,Y,118.0,0
42.0,SPECIFIED PRODUCTS TECHNOLOGIES,2.0,,Y,214.0,0
43.0,STATISTICS,2.0,,Y,255.0,0
44.0,TEXTILE TECHNOLOGY,2.0,1.0,Y,134.0,0
45.0,VETERINARY SCIENCE,2.0,,Y,283.0,0
46.0,LIBRARY SCIENCE,2.0,,Y,87.0,0
47.0,PHILOSOPHY,2.0,7.0,Y,31.0,0
48.0,POLITICAL SCIENCE,2.0,,Y,117.0,0
49.0,PSYCHOLOGY,2.0,,Y,143.0,0
51.0,SOCIAL WORK,2.0,,Y,7.0,0
52.0,MISCELLANEOUS,2.0,,Y,246.0,0
53.0,CIVIL ENGINEERING,2.0,62.0,N,205.0,0
54.0,I C W A,3.0,,Y,,0
55.0,APPLIED ECONOMICS,3.0,3.0,N,,0
56.0,MECHANICAL SCIENCE,3.0,25.0,N,4.0,0
58.0,ACCOUNTS AND AUDIT,11.0,62.0,Y,1.0,0
59.0,ALLOPATHY,11.0,1.0,N,,0
60.0,CIVIL SERVICES,1.0,,Y,846.0,0
61.0,INDIAN POLICE SERVICE,1.0,,Y,663.0,0
62.0,INDIAN ADMINISTRATIVE SERVICE,5.0,,Y,1013.0,0
63.0,ENGINEERING,1.0,,Y,3172.0,0
64.0,INDIAN FOREST SERVICE,1.0,,Y,8.0,0
65.0,INTERPRETERS,1.0,,Y,44.0,0
66.0,WORK STUDY,1.0,,Y,14.0,0
67.0,ACCOUNTS,1.0,,Y,6.0,0
68.0,ENGINEERING SERVICES,1.0,,Y,13.0,0
69.0,ELECTRICAL,5.0,64.0,N,2.0,0
70.0,BIOTECHNOLOGY,1.0,25.0,Y,17.0,0
71.0,TRAINING,5.0,,Y,17.0,0
72.0,DESIGN,5.0,,Y,6.0,0
73.0,REFORMS,5.0,,Y,20.0,0
74.0,SECRETARIAL PRACTICE,5.0,,Y,17.0,0
75.0,INDUSTRIAL SAFETY,4.0,,Y,5.0,0
76.0,CENSUS,4.0,,Y,8.0,0
77.0,INDIAN DEFENCE ACCOUNTS,4.0,,Y,,0
79.0,DAIRY TECHNOLOGY,4.0,,Y,,0
80.0,MANAGEMENT,4.0,,Y,1.0,0
81.0,MECHANICAL ENGINEERING,4.0,73.0,N,16.0,0
82.0,INDIAN ECONOMIC SERVICE,4.0,,Y,30.0,0
83.0,VEGETABLE OIL TECHNOLOGY,5.0,,Y,13.0,0
84.0,SCIENCE AND TECHNOLOGY,5.0,,Y,75.0,0
85.0,SCIENCE,4.0,,N,3.0,0
86.0,PUBLIC HEALTH,5.0,,Y,2.0,0
87.0,CENTRAL SECRETARIAT SERVICE,4.0,,Y,8.0,0
88.0,CHEMICAL SCIENCES,5.0,,Y,,0
89.0,DEFENCE TRAINING,4.0,,Y,25.0,0
90.0,POLICE TRAINING,4.0,,Y,1.0,0
91.0,FISHERIES,4.0,,Y,2.0,0
92.0,TRANSLATION,5.0,,Y,,0
