PROFESSION_ID,SPECILISATION_ID,SPECILISATION_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE,DATE
1.0,1.0,GENERAL ADMINISTRATION OR OFFICE ADMINISTRATION,2.0,,Y,0,2021-04-07 11:02:52
1.0,2.0,PUBLIC ADMINISTRATION.,2.0,25.0,Y,0,2021-04-07 11:02:52
1.0,3.0,CIVIL ADMINISTRATION,6.0,,Y,0,2021-04-07 11:02:52
1.0,4.0,POLICE ADMINISTRATION,1.0,,Y,0,2021-04-07 11:02:52
1.0,5.0,GENERAL ADMINISTRATION,5.0,,Y,0,2021-04-07 11:02:52
1.0,6.0,INDIAN RAILWAY TRAFFIC SERVICE,4.0,,Y,0,2021-04-07 11:02:52
1.0,7.0,HOSPITAL ADMINISTRATION,66.0,,Y,0,2023-07-04 10:41:10
2.0,1.0,AERODYNAMICS,2.0,,Y,0,2021-04-07 11:02:52
2.0,2.0,DYNAMICS AND CONTROL,2.0,,Y,0,2021-04-07 11:02:52
2.0,3.0,MAINTENANCE OVERHAUL REPAIR,2.0,,Y,0,2021-04-07 11:02:52
2.0,4.0,OPERATINS AERO,2.0,,Y,0,2021-04-07 11:02:52
2.0,5.0,PROPULSION,2.0,,Y,0,2021-04-07 11:02:52
2.0,6.0,RELIABILITY ENGG.,2.0,,Y,0,2021-04-07 11:02:52
2.0,7.0,STRUCTURES AERO.,2.0,,Y,0,2021-04-07 11:02:52
2.0,8.0,SYSTEM DESIGN ENGG. AND PRODUCTION,2.0,,Y,0,2021-04-07 11:02:52
2.0,9.0,TRAFFIC CONTROL,2.0,,Y,0,2021-04-07 11:02:52
2.0,10.0,AIRCRAFT PROPULSION AND TURBO MACHINERY,2.0,,Y,0,2021-04-07 11:02:52
2.0,11.0,DYNAMICS,5.0,,Y,0,2021-04-07 11:02:52
2.0,12.0,AEROELASTICITY,5.0,,Y,0,2021-04-07 11:02:52
2.0,13.0,VIBRATION,5.0,,Y,0,2021-04-07 11:02:52
2.0,14.0,STRUCTURAL ANALYSIS,5.0,,Y,0,2021-04-07 11:02:52
2.0,15.0,AIRCRAFT DESIGN,5.0,,Y,0,2021-04-07 11:02:52
2.0,16.0,PROJECT MANAGEMENT,5.0,,Y,0,2021-04-07 11:02:52
2.0,17.0,TECHNOLOGY MANAGEMENT,5.0,,Y,0,2021-04-07 11:02:52
2.0,18.0,AEROSPACE ENGG.,5.0,,Y,0,2021-04-07 11:02:52
2.0,19.0,FLIGHT DYNAMICS,5.0,,Y,0,2021-04-07 11:02:52
2.0,20.0,HEAT POWER,5.0,,Y,0,2021-04-07 11:02:52
2.0,21.0,WIND ENERGY,5.0,,Y,0,2021-04-07 11:02:52
2.0,22.0,AVIATION MANAGEMENT,5.0,,Y,0,2021-04-07 11:02:52
2.0,23.0,AEROPLANE FLYING,5.0,,Y,0,2021-04-07 11:02:52
2.0,24.0,PILOT,2.0,,Y,0,2021-04-07 11:02:52
2.0,25.0,AERO Q A,5.0,,Y,0,2021-04-07 11:02:52
2.0,26.0,ROCKET PROPULSION,3.0,,Y,0,2021-04-07 11:02:52
2.0,27.0,AIRCRAFT PROPULSION GAS TURBINE ENGG,3.0,,Y,0,2021-04-07 11:02:52
3.0,1.0,AGRICULTURE CHEMISTRY AND SOIL SCIENCE,2.0,,Y,0,2021-04-07 11:02:52
3.0,2.0,AGRICULTURE ECONOMICS,2.0,,Y,0,2021-04-07 11:02:52
3.0,3.0,AGRICULUTURAL ENTOMOLOGY AND NEMATOLOGY,2.0,,Y,0,2021-04-07 11:02:52
3.0,4.0,AGRICULTURE BIOCHEMISTRY,2.0,,Y,0,2021-04-07 11:02:52
3.0,5.0,AGRICULTURE BIOPHYSICS,2.0,,Y,0,2021-04-07 11:02:52
3.0,6.0,AGRICULTURE BOTANY,2.0,,Y,0,2021-04-07 11:02:52
3.0,7.0,AGRICULTURE ENGINEERING,2.0,,Y,0,2021-04-07 11:02:52
3.0,8.0,AGRICULTURE EXTENSION,2.0,,Y,0,2021-04-07 11:02:52
3.0,9.0,AGRICULTURE METEOROLOGY,2.0,,Y,0,2021-04-07 11:02:52
