ZONE_ID,STATE_ID,STATE_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE
1.0,1.0,WEST BENGAL,2.0,,Y,0
1.0,2.0,TRIPURA,2.0,,Y,0
1.0,3.0,BIHAR,2.0,,Y,0
1.0,4.0,ODISHA,2.0,,Y,0
1.0,5.0,JHARKHAND,2.0,,Y,0
2.0,1.0,JAMMU AND KASHMIR,2.0,,Y,0
2.0,2.0,CHANDIGARH,2.0,,Y,0
2.0,3.0,HARYANA,2.0,,Y,0
2.0,4.0,HIMACHAL PRADESH,2.0,,Y,0
2.0,5.0,DELHI,2.0,,Y,0
2.0,6.0,PUNJAB,2.0,,Y,0
2.0,7.0,UTTARAKHAND,2.0,,Y,0
2.0,8.0,UTTAR PRADESH,2.0,,Y,0
2.0,9.0,DELHI,5.0,,Y,0
2.0,10.0,UTTARAKHAND,5.0,,Y,0
2.0,11.0,UTTARAKHAND,5.0,,Y,0
3.0,1.0,ANDHRA PRADESH,2.0,,Y,0
3.0,2.0,TAMIL NADU,2.0,,Y,0
3.0,3.0,KARNATAKA,2.0,,Y,0
3.0,4.0,KERALA,2.0,,Y,0
3.0,5.0,ANDAMAN AND NICOBAR,2.0,,Y,0
3.0,6.0,PUDUCHERRY,2.0,,Y,0
3.0,7.0,LAKSHADEEP,2.0,,Y,0
3.0,8.0,DADRA AND NAGAR HAVELI,5.0,,Y,0
3.0,9.0,TELANGANA,5.0,,Y,0
4.0,1.0,DADAR AND NAGAR HAVELI,2.0,,Y,0
4.0,2.0,DAMAN AND DIU,2.0,,Y,0
4.0,3.0,GOA,2.0,,Y,0
4.0,4.0,GUJARAT,2.0,,Y,0
4.0,5.0,MAHARASHTRA,2.0,,Y,0
4.0,6.0,RAJASTHAN,2.0,,Y,0
5.0,1.0,ARUNACHAL PRADESH,2.0,,Y,0
5.0,2.0,ASSAM,2.0,,Y,0
5.0,3.0,MANIPUR,2.0,,Y,0
5.0,4.0,MEGHALAYA,2.0,,Y,0
5.0,5.0,MIZORAM,2.0,,Y,0
5.0,6.0,NAGALAND,2.0,,Y,0
5.0,7.0,SIKKIM,2.0,,Y,0
6.0,1.0,MADHYA PRADESH,2.0,,Y,0
6.0,2.0,CHATTISGARH,2.0,,Y,0
6.0,3.0,AAAA,25.0,,Y,0
6.0,4.0,AAA,25.0,,Y,0
6.0,5.0,CHATTISGARH,2.0,,Y,0
7.0,1.0,OUTSIDE INDIA,2.0,,Y,0
7.0,10.0,TEST,5.0,,Y,0
7.0,11.0,TEST 1,2.0,,Y,0
8.0,1.0,NO STATE,2.0,,Y,0
