PROFESSION_ID,SPECILISATION_ID,SUPER_SPECILISATION_ID,SUPER_SPECILISATION_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE,DATE
1.0,1.0,1.0,CROP HUSBANDARY,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,2.0,CROP PRODUCTION,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,3.0,FERTILISER MANAGEMENT-SOIL FERTILITY,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,4.0,SOIL AND WATER MANAGEMENT,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,5.0,SOIL CONSERVATION,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,6.0,CASHEW,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,7.0,COCOA,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,8.0,COFFEE,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,9.0,COTTON,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,10.0,FORAGE,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,11.0,JUTE,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,12.0,MAIZE,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,13.0,MILLET,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,14.0,OIL SEED CROPS,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,15.0,POTATO,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,16.0,PULSES,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,17.0,RICE-PADDY,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,18.0,SORGHUM,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,19.0,SOYABEAN,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,20.0,SPICES,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,21.0,SUGARBEET,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,22.0,SUGARCANE,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,23.0,TEA,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,24.0,TOBACCO,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,25.0,TUBER CROPS,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,26.0,VEGETABLE CROPS,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,27.0,WHEAT CROP,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,28.0,WEED CONTROL,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,29.0,RAINFED FARMING,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,30.0,WATER SHED MANAGEMENT,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,31.0,JUTE AND MESTA,2.0,,Y,0,2021-04-07 11:01:53
1.0,1.0,32.0,GENERAL,2.0,2.0,Y,0,2021-04-07 11:01:53
1.0,2.0,1.0,CIVIL AND DISTRICT ADMINISTRATION,2.0,5.0,Y,0,2021-04-07 11:01:53
1.0,2.0,2.0,INDUSTRIAL ADMINISTRATION,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,3.0,POLICE ADMINISTRATION,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,4.0,DEFENCE ADMINISTRATION (CIVIL),2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,5.0,ADMN. OF PUBLIC SYSTEM AND SERVICES,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,6.0,FOREST ADMINISTRATION,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,7.0,ADMN. OF LEGAL SYSTEM,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,8.0,ADMN. OF SOCIAL SECTOR,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,9.0,TAXATION ADMINISTRATION,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,10.0,FINANCE AND ACCOUNTS ADMN.,2.0,,Y,0,2021-04-07 11:01:53
1.0,2.0,11.0,BORDER MANAGEMENT,2.0,5.0,Y,0,2021-04-07 11:01:53
